0.247381	1.130131	0.003864	1.533724	-0.003918	0.463052	-0.005868	2.642666	0.024586	1.865327	0.007498	-0.030952	-0.004962
0.258796	1.162537	0.003997	1.538613	-0.003864	0.462638	-0.005915	2.681665	0.025136	1.883813	0.007497	-0.041437	-0.004366
0.267454	1.195372	0.004131	1.543506	-0.003808	0.462138	-0.005955	2.720718	0.025666	1.901999	0.007378	-0.049976	-0.003783
0.277326	1.228633	0.004265	1.548404	-0.003751	0.461554	-0.005989	2.759815	0.026174	1.919859	0.007219	-0.058347	-0.003231
0.287300	1.262319	0.004401	1.553308	-0.003692	0.460941	-0.006016	2.798845	0.026660	1.937609	0.007116	-0.061359	-0.002662
0.297486	1.296430	0.004537	1.558218	-0.003631	0.460326	-0.006037	2.837749	0.027126	1.955273	0.007050	-0.061469	-0.002120
0.308471	1.330963	0.004674	1.563134	-0.003568	0.459729	-0.006052	2.876491	0.027572	1.972895	0.006979	-0.059659	-0.001604
0.317325	1.365917	0.004812	1.568057	-0.003504	0.459155	-0.006063	2.915066	0.027997	1.990464	0.006860	-0.057469	-0.001117
0.327290	1.401291	0.004950	1.572986	-0.003440	0.458599	-0.006068	2.953480	0.028399	2.007982	0.006643	-0.055549	-0.000647
0.371310	1.437082	0.005089	1.577922	-0.003376	0.458077	-0.006068	2.991704	0.028776	2.025536	0.006358	-0.052220	-0.000188
0.371363	1.473289	0.005229	1.582865	-0.003313	0.457600	-0.006063	3.029718	0.029130	2.043126	0.006130	-0.047706	0.000244
0.371383	1.509912	0.005369	1.587816	-0.003249	0.457179	-0.006054	3.067500	0.029463	2.060806	0.005973	-0.042084	0.000656
0.371400	1.546948	0.005509	1.592773	-0.003184	0.456823	-0.006041	3.105037	0.029778	2.078596	0.005922	-0.035582	0.001054
0.415284	1.584396	0.005649	1.597737	-0.003118	0.456535	-0.006024	3.142329	0.030073	2.096516	0.005884	-0.028870	0.001446
0.415392	1.622256	0.005790	1.602709	-0.003051	0.456311	-0.006003	3.179383	0.030348	2.114571	0.005780	-0.022325	0.001835
0.415477	1.660525	0.005931	1.607688	-0.002984	0.456147	-0.005978	3.216216	0.030602	2.132751	0.005625	-0.016399	0.002209
0.415553	1.699204	0.006072	1.612674	-0.002916	0.456041	-0.005949	3.252836	0.030834	2.151059	0.005465	-0.010639	0.002574
0.459318	1.738290	0.006213	1.617667	-0.002848	0.455993	-0.005916	3.289246	0.031044	2.169520	0.005325	-0.004830	0.002933
0.459365	1.777783	0.006354	1.622668	-0.002780	0.456004	-0.005880	3.325445	0.031235	2.188141	0.005254	0.001082	0.003289
0.459388	1.817683	0.006495	1.627676	-0.002710	0.456074	-0.005839	3.361439	0.031406	2.206924	0.005191	0.006964	0.003644
0.459426	1.857988	0.006636	1.632691	-0.002640	0.456185	-0.005795	3.397270	0.031556	2.225835	0.005106	0.011152	0.003999
0.459446	1.898698	0.006776	1.637714	-0.002569	0.456330	-0.005747	3.432959	0.031684	2.244831	0.004960	0.014484	0.004344
0.507303	1.939812	0.006916	1.642744	-0.002498	0.456504	-0.005695	3.468518	0.031790	2.263885	0.004813	0.017407	0.004679
0.507437	1.981329	0.007056	1.647781	-0.002427	0.456707	-0.005640	3.503950	0.031874	2.283005	0.004698	0.020274	0.005008
0.507511	2.023249	0.007196	1.652826	-0.002355	0.456926	-0.005581	3.539286	0.031938	2.302177	0.004619	0.021883	0.005332
0.507583	2.065572	0.007335	1.657877	-0.002281	0.457149	-0.005519	3.574557	0.031983	2.321334	0.004617	0.022230	0.005644
0.508516	2.108295	0.007474	1.662935	-0.002205	0.457367	-0.005453	3.609782	0.032011	2.340447	0.004648	0.021786	0.005943
0.517926	2.151420	0.007612	1.667999	-0.002129	0.457578	-0.005384	3.644964	0.032019	2.359522	0.004625	0.021171	0.006233
0.559297	2.194945	0.007750	1.673071	-0.002051	0.457786	-0.005312	3.680099	0.032007	2.378564	0.004528	0.020696	0.006518
0.559391	2.238870	0.007887	1.678148	-0.001974	0.457989	-0.005237	3.715187	0.031972	2.397574	0.004396	0.020283	0.006799
0.559432	2.283194	0.008023	1.683233	-0.001897	0.458184	-0.005158	3.750235	0.031917	2.416528	0.004301	0.019523	0.007071
0.559470	2.327917	0.008159	1.688323	-0.001818	0.458367	-0.005077	3.785255	0.031843	2.435410	0.004255	0.018309	0.007337
0.603322	2.373037	0.008294	1.693420	-0.001738	0.458534	-0.004993	3.820256	0.031750	2.454209	0.004247	0.016710	0.007598
0.603428	2.418555	0.008428	1.698522	-0.001657	0.458684	-0.004905	3.855240	0.031637	2.472918	0.004238	0.014987	0.007857
0.603480	2.464469	0.008561	1.703631	-0.001575	0.458819	-0.004815	3.890201	0.031506	2.491543	0.004198	0.013420	0.008103
0.603588	2.510780	0.008693	1.708746	-0.001493	0.458939	-0.004722	3.925135	0.031353	2.510101	0.004071	0.012029	0.008340
0.651276	2.557485	0.008825	1.713867	-0.001412	0.459046	-0.004627	3.960039	0.031177	2.528589	0.003889	0.010686	0.008572
0.651343	2.604586	0.008955	1.718994	-0.001332	0.459139	-0.004529	3.994916	0.030979	2.546991	0.003723	0.009250	0.008800
0.651377	2.652080	0.009085	1.724128	-0.001251	0.459218	-0.004428	4.029761	0.030760	2.565313	0.003596	0.007958	0.009015
0.651416	2.699968	0.009213	1.729267	-0.001170	0.459287	-0.004326	4.064569	0.030520	2.583562	0.003499	0.006848	0.009220
0.651447	2.748248	0.009340	1.734412	-0.001090	0.459347	-0.004221	4.099333	0.030261	2.601745	0.003391	0.005947	0.009418
